"","system.index","SiteID","blue","blue_sd","date_unity","green","green_sd","nir","nir_sd","path","pixelCount","qa","qa_sd","red","red_sd","row","sat","swir1","swir1_sd","swir2","swir2_sd",".geo","endtime","date","date_only","chl_a","doc","p_sand","secchi","tis","tss","source","lat","long","TZID","date_utc","clouds","time","landsat_id","timediff","pwater","type","id"
"1148",232,"11NPSWRD_WQX-CURE_NPS_BM04",394,NA,"1987-05-29T16:25:00Z",495,NA,276,NA,35,0,68,NA,418,NA,33,5,243,NA,282,NA,"{""type"":""Point"",""coordinates"":[-107.10071604806323,38.48426940085043]}","16:25:00","1987-05-28",FALSE,NA,NA,NA,2,NA,NA,"WQP",38.4842694008504,-107.100716048063,"UTC","1987-05-29T16:25:00Z",33,"1987-05-28T17:14:13Z","LT05_L1TP_035033_19870528_20161003_01_T1",23.179711937507,31,"Lake","New"
"1149",234,"11NPSWRD_WQX-CURE_NPS_BM04",246,NA,"1993-06-14T17:09:00Z",397,NA,219,NA,35,0,68,NA,310,NA,33,5,132,NA,55,NA,"{""type"":""Point"",""coordinates"":[-107.10071604806323,38.48426940085043]}","17:09:00","1993-06-13",FALSE,NA,NA,NA,1.75,NA,NA,"WQP",38.4842694008504,-107.100716048063,"UTC","1993-06-14T17:09:00Z",1,"1993-06-13T17:12:34Z","LT05_L1TP_035033_19930613_20160928_01_T1",23.9403388644589,31,"Lake","New"
"1150",235,"11NPSWRD_WQX-CURE_NPS_BM04",445,NA,"1996-07-08T16:55:00Z",450,NA,354,NA,35,0,68,NA,397,NA,33,5,81,NA,53,NA,"{""type"":""Point"",""coordinates"":[-107.10071604806323,38.48426940085043]}","16:55:00","1996-07-07",FALSE,NA,NA,NA,5.5,NA,NA,"WQP",38.4842694008504,-107.100716048063,"UTC","1996-07-08T16:55:00Z",4,"1996-07-07T17:04:02Z","LT05_L1TP_035033_19960707_20160924_01_T1",23.8491919391685,31,"Lake","New"
"1151",236,"11NPSWRD_WQX-CURE_BML45",335,16.2971203343491,"1984-06-21T12:00:00Z",450,15.9597733514213,247,11.5095864800244,35,127,68,0,386,15.8926860270669,33,5,60,19.946111292548,53,27.1953070063466,"{""type"":""Point"",""coordinates"":[-107.07277066925184,38.484852456096675]}","00:00:00","1984-06-20",TRUE,NA,NA,NA,1.5,NA,NA,"WQP",38.4848524560967,-107.072770669252,"America/Denver","1984-06-21T18:00:00Z",21,"1984-06-20T17:18:26Z","LT05_L1TP_035033_19840620_20161004_01_T1",24.6926474775043,87,"Lake","New"
"1152",237,"11NPSWRD_WQX-CURE_BML45",239,14.0699870621501,"1984-07-07T12:00:00Z",305,15.9328952709264,186,10.9731126312639,35,127,68,0,255,17.2018970991728,33,5,62,16.3513184401512,54,25.5861849697395,"{""type"":""Point"",""coordinates"":[-107.07277066925184,38.484852456096675]}","00:00:00","1984-07-06",TRUE,NA,NA,NA,4,NA,NA,"WQP",38.4848524560967,-107.072770669252,"America/Denver","1984-07-07T18:00:00Z",2,"1984-07-06T17:18:37Z","LT05_L1TP_035033_19840706_20161004_01_T1",24.689669715282,87,"Lake","New"
"1153",238,"11NPSWRD_WQX-CURE_BML46",349,9.34595841931169,"1984-06-21T12:00:00Z",481,0.451753951463144,247,0.349927106115277,35,7,68,0,415,10.0954627108889,33,5,61,21.0771178760091,53,14.9078803979367,"{""type"":""Point"",""coordinates"":[-107.0808264355417,38.48693579718618]}","00:00:00","1984-06-20",TRUE,NA,NA,NA,2.25,NA,NA,"WQP",38.4869357971862,-107.080826435542,"America/Denver","1984-06-21T18:00:00Z",21,"1984-06-20T17:18:26Z","LT05_L1TP_035033_19840620_20161004_01_T1",24.6926474775043,66,"Lake","New"
"1154",239,"11NPSWRD_WQX-CURE_BML46",239,9.58314847499922,"1984-07-07T12:00:00Z",337,14.4561264464841,220,16.8256364163833,35,7,68,0,255,10.1478860772447,33,5,62,11.382048164024,54,16.330764757078,"{""type"":""Point"",""coordinates"":[-107.0808264355417,38.48693579718618]}","00:00:00","1984-07-06",TRUE,NA,NA,NA,3.25,NA,NA,"WQP",38.4869357971862,-107.080826435542,"America/Denver","1984-07-07T18:00:00Z",2,"1984-07-06T17:18:37Z","LT05_L1TP_035033_19840706_20161004_01_T1",24.689669715282,66,"Lake","New"
"1155",240,"11NPSWRD_WQX-CURE_BML47",337,17.5985783783094,"1984-06-21T12:00:00Z",483,14.9132583105604,247,26.3532937931865,35,32,68,0,415,23.9771212565228,33,5,130,32.2528462891262,86,42.5940939091032,"{""type"":""Point"",""coordinates"":[-107.05946458612436,38.4877134042602]}","00:00:00","1984-06-20",TRUE,NA,NA,NA,2,NA,NA,"WQP",38.4877134042602,-107.059464586124,"America/Denver","1984-06-21T18:00:00Z",21,"1984-06-20T17:18:26Z","LT05_L1TP_035033_19840620_20161004_01_T1",24.6926474775043,72,"Lake","New"
"1156",241,"11NPSWRD_WQX-CURE_BML47",287,104.652060232647,"1984-07-07T12:00:00Z",371,122.779810375882,253,126.80638538733,35,32,68,0,313,121.983285227936,33,5,155,107.684725007774,120,105.558702381365,"{""type"":""Point"",""coordinates"":[-107.05946458612436,38.4877134042602]}","00:00:00","1984-07-06",TRUE,NA,NA,NA,3.5,NA,NA,"WQP",38.4877134042602,-107.059464586124,"America/Denver","1984-07-07T18:00:00Z",2,"1984-07-06T17:18:37Z","LT05_L1TP_035033_19840706_20161004_01_T1",24.689669715282,72,"Lake","New"
"1157",242,"11NPSWRD_WQX-CURE_BML48",346.5,7.5,"1984-06-21T12:00:00Z",517,0,299,17,35,2,68,0,502,0,33,5,176,0,135.5,16.5,"{""type"":""Point"",""coordinates"":[-107.03593596426076,38.488102097533414]}","00:00:00","1984-06-20",TRUE,NA,NA,NA,0.75,NA,NA,"WQP",38.4881020975334,-107.035935964261,"America/Denver","1984-06-21T18:00:00Z",21,"1984-06-20T17:18:26Z","LT05_L1TP_035033_19840620_20161004_01_T1",24.6926474775043,37,"Lake","New"
